Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-19 17:52:15,2025-12-19 17:52:15,All watched tests are within expected ranges.,YES,AJ25,IBP - D86,161.38,5.46,155.92,166.84,158.87,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-19 17:52:15,2025-12-19 17:52:15,All watched tests are within expected ranges.,YES,AJ25,10% - D86,196.62,2.54,194.08,199.16,196.23,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-19 17:52:15,2025-12-19 17:52:15,All watched tests are within expected ranges.,YES,AJ25,50% - D86,257.08,1.76,255.32,258.84,257.33,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-19 17:52:15,2025-12-19 17:52:15,All watched tests are within expected ranges.,YES,AJ25,90% - D86,323.24,3.34,319.9,326.58,323.46,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-19 17:52:15,2025-12-19 17:52:15,All watched tests are within expected ranges.,YES,AJ25,FBP - D86,354.51,4.24,350.27,358.75,354.81,parsed,YES,C
Multitek NS,box_1870507241056,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,2025-12-18 16:31:25,2025-12-18 16:31:25,Last in-spec QC is stale (cached).,YES,AJ25,Sulfur - D5453,8.9,1.48,7.42,10.38,8.405,parsed,YES,mg/kg
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-19 11:58:40,2025-12-19 11:58:40,Last in-spec QC is stale.,YES,AJ25,API Gravity D4052-22,37.37,0.1,37.27,37.47,37.37,parsed,YES,API
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-19 11:58:40,2025-12-19 11:58:40,Last in-spec QC is stale.,YES,AJ25,IBP - D86,161.38,5.46,155.92,166.84,161.4,parsed,YES,C
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-19 11:58:40,2025-12-19 11:58:40,Last in-spec QC is stale.,YES,AJ25,10% - D86,196.62,2.54,194.08,199.16,196.6,parsed,YES,C
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-19 11:58:40,2025-12-19 11:58:40,Last in-spec QC is stale.,YES,AJ25,50% - D86,257.08,1.76,255.32,258.84,257.1,parsed,YES,C
