Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,In Spec,Units
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-10-03 00:00:28,2025-10-03 05:13:55.502470,All watched tests are within expected ranges.,NO,AO24,90% - D86,331.84,3.8,328.04,335.64,334.97,YES,C
Multitek NS,box_1870507241056,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,,2025-09-23 00:36:44.851270,At least one watched test is out of spec or missing.,NO,AO24,Sulfur - D5453,9,1.7,7.3,10.7,6.943,NO,mg/kg
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,,,API
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,IBP - D86,165.69,5.56,160.13,171.25,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,10% - D86,189.11,2.24,186.87,191.35,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,50% - D86,246.67,2.24,244.43,248.91,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,90% - D86,331.84,3.8,328.04,335.64,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,FBP - D86,365.33,5.52,359.81,370.85,,,C
PAC Flash 2,box_2201765855296,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-10-03 00:00:28,2025-10-03 17:01:39.895219,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,61,YES,C
Auto Grabner,box_1840573737440,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2025-10-03 09:29:32,2025-10-03 18:52:17.176967,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,60,YES,C
Mini Grabner,box_1840573738448,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2025-10-03 08:52:32,2025-10-03 17:58:49.953828,Insufficient data for one or more tests.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,,,C
Multitek S,box_1840573733840,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-10-03 00:00:28,2025-10-03 02:59:40.599686,All watched tests are within expected ranges.,NO,AO24,Sulfur - D5453,9,1.7,7.3,10.7,9.093,YES,mg/kg
PAC Flash 1,box_2096856031904,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,2025-10-03 00:00:28,2025-10-03 17:01:41.017915,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,59,YES,C
Viscocity,box_2301728638432,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,Viscosity - D445,2.2469,0.0478,2.1991,2.2947,,,mm2/s
Handheld API,box_2301728342368,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,2025-10-03 13:12:58,2025-10-03 20:48:36.645711,All watched tests are within expected ranges.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,42.7,YES,API
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,C
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Pour Point - D7346,-23,4.6,-27.6,-18.4,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Cloud Point - D7689,-12.27,1.52,-13.79,-10.75,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,C
BenchTop Bio,box_2332332582384,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,2025-10-03 13:18:35,2025-10-03 20:48:40.216020,All watched tests are within expected ranges.,NO,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,5.1,YES,%
AQUAMAX KF,box_1834023730592,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/KF Results/KF Results.csv,24.00,2025-10-03 08:12:32,2025-10-03 17:58:50.049217,Insufficient data for one or more tests.,NO,AO24,KF - D6304,32.75,15,17.75,47.75,,,ppm
